Abdominoplasty,[]
Cosmetology,"['HAIR CARE SERVICES', 'Contact Dermatitis', 'PRP for hair loss', ' Age Spots', 'Peel', 'Permanent Acne Solutions', 'Clinical Dermatology and Skin Care', 'Photofacial', 'Skin Peeling', 'Birthmarks', 'PRP( platelet rich plasma)', 'Age Spots', 'Dermatophytosis', 'Laser therapy', 'ANTIAGEING SOLUTIONS', 'Sun Spots', 'Hair Loss Treatment', 'Laser Surgery', 'Acne Scars', 'Cysts', 'Fillers', 'Skin Tag Treatment', 'Cosmetic Makeovers', 'Hair Treatment', 'Skin Care', 'Hair Growth Treatment', 'Tattoo Removal', 'Mole Check', 'Whiteheads', 'Acne', 'skin disesse', 'Acne/ Pimple Scars Treatment', 'Skin Allergy', 'Line and Wrinkle Smoothing', 'Skin Disorder', 'Hair Loss', 'Antiageing', 'PRP ( PLATELET RICH PLASMA ) for Hair Thinning', 'Laser Depigmentation', 'Hair Problems', 'Chemical Peel', 'Skin Infections', 'Glycolic Peel', 'Freckles Removal', 'Dermaroller', 'Medical Vitiligo Treatment', 'Herpes Infections', 'Allergy Treatment', 'Hair Transplant Surgery', 'Molluscum Removal', 'Skin Disease Treatment', 'PRP for Hairfall', 'Acne / Pimples Treatment', 'Skin Tag Surgical Removal', 'Scarred Skin', 'Hair Disease', 'Blackheads', 'Dermatologic Surgery Small', 'Rosacea', 'Skin Whitening Treatment', 'Alopecia Universalis', 'Nail Disorders', 'Keloid Treatment', 'Skin Growths', 'Pimple Free Treatments', 'Alopecia Areta Treatment', 'Thyroid Disorders', 'Chronic Skin Allergy', 'Hair Removal Treatment', 'Dandruff', 'Fairness Treatments', 'Skin Hydration', 'Scalp Treatment', 'Wrinkles', 'Anti Aging Treatment', 'Syphilis Treatment', 'Low Level Laser Therapy', 'PRP Hair Transplantation', 'Nail Surgery', 'Corn Removal', 'hypopigmentation', 'Scalp Micropigmentation (SMP)', 'Wart Removal', 'Melasma Treatment', 'Skin Whiting', 'Skin Cancer Screening', 'Dermabrasion', 'Mesotherapy', 'Dermatitis Treatment', ' And Other Pigmented Lesions', 'Fungal Infection', 'under eye', 'Scales on Skin', 'Hair Mesotherapy', 'Psoriasis Treatment', 'Vitiligo', 'Ear Piercing', ' Lasers', 'Hair Regrowth', 'Biofibre Hair Implant', 'Skin Allergy Treatment', 'Dry Skin', 'Tinea Versicolor Treatment', 'Dandruff Treatment', 'Hair Restoration', 'Pigmented Skin', 'Broken Nails', 'Ichthyosis vulgaris', 'Eczema', 'Chickenpox', 'Cosmetic procedures', ""Athlete's Foot"", 'Keratosis Treatment', 'Dermatology Services', 'Mole Removal', 'PRP for Hair Loss', 'Chemical Peels', 'Hair Fringes', 'Allergies', 'Pityriasis Rosea', 'Rashes', 'Skin Pulse Treatment', 'Bacterial Skin Infection Treatment', 'Skin Whitening', 'Itching', 'Keloids Removal', 'Hair Weaving & Bonding', 'Nail Diseases Treatment', 'Fungal Infection Treatment', 'Pigmentation Treatment', 'Molluscum Treatment', 'Leucoderma Treatment', 'Fractional Skin Rejuvenation', 'Skin Tags Removal', 'Skin Treatment', 'Cosmetic Treatments', 'Atopic Dermatitis Treatment', 'Skin Pigmentation', 'Scar Treatment', 'Salicyclic Peel', 'Psoriasis', ' Polishing', 'Hyper Pigmentation Treatment', 'Skin Rash Treatment', 'Photodermatitis', 'Hair Patch', 'Acne Treatment', 'Pigmentation Removal', 'Hair Transplant', 'Skin Conditions', 'Tags', 'Laser Hair Removal - Face', 'skin checks', 'Mole Excission', 'hair and nails treatment', 'Dull Skin', 'Warts', 'PRP Treatment', 'All Modern Skin Treatment']"
Counselling Psychology,"['Online Counselling', 'Child Psychology', 'Professional Development', 'TREATMENT FOR DEPRESSION', 'Counselling And Stress Management', 'Shoulder Pain', 'pre marital counseling', 'virechana karma', 'Youth Counselling', 'Skin diseases/ Psoriasis', 'Psychological Problems', 'Career Counselling', 'Death and bereavement issues', 'TREATMENT FOR DIABETES TYPE - II & I', 'Snehapanam', 'Ayurvedic Treatment', 'Abhyangam', 'Stress', 'Anxiety Disorder Counselling', 'Psoriasis', 'Meditation', 'behavioral problems', 'Weight Loss Treatment', 'Ayurvedic Surgery', 'Obesity Treatment', 'Raja Yoga', 'Study habits', 'developmental disability', 'Learning Disability (Dyslexia) Treatment', 'Child behavioural issues', 'special school for autism', 'Thyroid Disorders', 'Trauma Treatment Specialist', 'Detoxification', ' STRESS & STRAIN', 'Ayurvedic Massage', 'Family Counseling', 'Patient Counselling', 'Stress management specialist', 'Kidney stones (Urinary Calculus)', 'Cold And Cough', 'Family Problems', 'Udwarthanam', 'applied behaviour analysis for autism', 'Counselling for Depression & Anxiety', 'Jiva Yoga', 'Post Traumatic Stress Disorder', 'Personal development', 'Panchakarma', 'Cognitive Behavioral Therapy (CBT)', 'Interpersonal Relationship Issues', 'Life sKILLS', 'Marriage/ Marital Counselling']"
Dental Implant,"['Orthodontic Procedures', 'Rotten Tooth', 'Tooth Decay', 'Metal Braces Fixing', 'Teeth Sensitive to Hot and Cold', 'Orthognathic Surgery', 'Braces', 'Dental Treatment', 'Cast Partial Denture', 'Ceramic Facing Crown', 'Post and Core', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Dentures ( Metal Based ) Dental Services/ Ful Dental (Acrylic) / Teeth Whitening', 'Cosmetic Recountouring of Teeth', 'Calculus', 'Composite tooth filling', 'Pulpectomy', 'Orthodontic Treatment', 'Smile Design', 'Missing Teeth', 'Wisdom Teeth', 'Teeth Decay', 'Dentofacial Orthopedics', 'Artificial Teeth', 'Implant Rehabilitation', 'Complete/Partial Dentures Fixing', 'Tooth Loss', 'Impacted Teeth', 'Rotten Teeth', 'Aesthetic Dentistry', 'Advanced surgery in Implantology', 'Conservative Dentistry', 'Flap Surgery', 'Dental Cavity Filling', 'Removal of impacted/buried Tooth', 'Painful Teething', 'Swollen Gums', 'Broken Teeth', 'Invisible/Clear Braces', 'Bleeding Gums Treatment', 'Tooth Abscess', 'Widely Spaced Teeth', 'Tooth Impaction Surgery', 'Teeth cleaning & polishing', 'Teeth Whitening', 'RCT - Single Sitting', 'Cosmetic Veneers/Bonding', 'Implant Prosthesis', 'RCT - Root Canal Treatment', 'Dental Fillings', 'Bone Grafting for Dental Implants', 'Smile Designing', 'Cosmetic Filling', 'Full Denture (Acrylic)', 'Oral Prophylaxis', 'Braces Adjustment', 'Scaling / Polishing', 'Impacted Tooth', 'Mouth Guard', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Dental Plaque', 'Fractured Tooth', 'Dental Surgery', 'Metallic Crown Fixing', 'Consultation', 'Yoga during pregnancy', 'Invisalign Orthodontics', 'Gingivitis', 'Immediate Implant placement in Extraction sockets', 'Delayed Tooth Formation', 'Toothache Remedies', 'Teeth Reshaping', 'Veneers / Laminates', 'Bleeding Gums', 'Gum Disease Treatment/ Surgery', 'Ceramic Braces Fixing', 'Toothache', 'Inlays and Onlays', 'Implants(Fixed Teeth)', 'Immediate Dentures', 'Invisible Orthodontics', 'Soft Tissue Swelling of face and neck', ' Vestibuloplasty etc)', 'Removable Partial Denture Per Tooth', 'Paedodontics', 'Teeth Grinding', 'Sensitive Teeth', 'Cavities', 'Abnormally Shaped Teeth', 'Crowded Teeth', 'Teeth Ache', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Acrylic Partial Denture', 'Ceramic Crowns and Bridges Fixing', 'Dental X-Ray', 'TMJ Disorders', 'Apicoectomy', 'Fixed Partial Denture (FPD)', 'Dental Sealant', 'Mucogingival Surgery', 'Treatment for bleeding/ Swolen Gums', 'General Dentistry', 'Teeth - Jewellery', 'Tooth Coloured Fillings', 'Loose Teeth', 'Implant Retained Dentures', 'Dental Checkup (General)', 'Ceramic Veneers / Crowns', 'Restoration Aesthetics', 'Mouth Bleed', 'Dental Crowns', 'Dental Examinations', 'Flexible Partial/Complete Denture', 'Zirconia Crowns', 'Wisdom Tooth Extraction', 'Dental Bridges', 'Preposthetic surgery (Frenectomy', 'Implant Supported Denture Fixing', 'Impaction / Impacted Tooth Extraction', 'Jaw Orthopedics', 'Pediatric Dentistry', 'Denture Problems', 'Dental Implant', 'Root Resection', 'Paediatric Tooth Filling', 'Dental Restoration', 'Laminates', 'Tooth Extraction', 'Stained Teeth', 'Maxillo Facial Prosthodontics', 'Endo Surgery Or Apicoectomy', 'Tooth bleach', 'Laser Gum Surgery', 'Oral & Maxillofacial Surgery', 'Osseointegrated implants', 'Periodontal Flap Surgery', 'Jaw Ache', 'Bad Breath', 'Operculectomy', 'Implant / RCT', 're-root canal', 'Oral Surgery Procedures', 'Removal Partial Denture (RPD)', 'Abnormal Tooth Color', 'Gap Closing', 'Periodontitis', 'Dental Implant Fixing', 'Misaligned Teeth', 'Dental Cavities', 'Scalling', 'Surgical Tooth Extraction']"
Dental Surgery,"['Rotten Tooth', 'Tooth Decay', 'Metal Braces Fixing', 'Teeth Sensitive to Hot and Cold', 'Orthognathic Surgery', 'Braces', 'Dental Treatment', 'Cast Partial Denture', 'Post and Core', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Dental Calculus', 'Cosmetic Recountouring of Teeth', 'Calculus', 'Composite tooth filling', 'Pulpectomy', 'Health Checkup (General)', 'Orthodontic Treatment', 'Smile Design', 'Missing Teeth', 'Wisdom Teeth', 'Teeth Decay', 'Oral Rehabilitation', 'Dentofacial Orthopedics', 'Artificial Teeth', 'Implant Rehabilitation', 'Complete/Partial Dentures Fixing', 'Tooth Loss', 'Impacted Teeth', 'Rotten Teeth', 'Aesthetic Dentistry', 'Advanced surgery in Implantology', 'Conservative Dentistry', 'Flap Surgery', 'Dental Cavity Filling', 'Removal of impacted/buried Tooth', 'Jaw Reshaping', 'Painful Teething', 'Swollen Gums', 'Broken Teeth', 'Invisible/Clear Braces', 'Bleeding Gums Treatment', 'Tooth Abscess', 'Widely Spaced Teeth', 'Tooth Impaction Surgery', 'Teeth cleaning & polishing', 'Teeth Whitening', 'RCT - Single Sitting', 'Scalling', 'Cosmetic Veneers/Bonding', 'Receding Gums', 'Implant Prosthesis', 'RCT - Root Canal Treatment', 'Dental Fillings', 'Smile Designing', 'Braces Adjustment', 'Full Denture (Acrylic)', 'Cosmetic Filling', 'Oral Prophylaxis', 'Scaling / Polishing', 'Impacted Tooth', 'Mouth Guard', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Dental Plaque', 'Fractured Tooth', 'Malocclusion', 'Dental Surgery', 'Straightening Teeth (Invisalign)', 'Bad Breath (Halitosis) Treatment', 'Metallic Crown Fixing', 'Consultation', 'Yoga during pregnancy', 'Invisalign Orthodontics', 'Gingivitis', 'Immediate Implant placement in Extraction sockets', 'Delayed Tooth Formation', 'Toothache Remedies', 'Teeth Reshaping', 'Veneers / Laminates', 'Bleeding Gums', 'Microscope Assisted Root Canal Treatment', 'Gum Disease Treatment/ Surgery', 'Ceramic Braces Fixing', 'Tooth Erosion', 'Toothache', 'Inlays and Onlays', 'Veneers', 'Dental Fluorosis', 'Immediate Dentures', 'Tooth Filling', 'Removable Partial Denture Per Tooth', 'Teeth Grinding', 'Sensitive Teeth', 'Cavities', 'Abnormally Shaped Teeth', 'Crowded Teeth', 'Teeth Ache', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Acrylic Partial Denture', 'Ceramic Crowns and Bridges Fixing', 'Dental X-Ray', 'TMJ Disorders', 'Fixed Partial Denture (FPD)', 'Dental Sealant', 'Mucogingival Surgery', ' Crowns and Bridges', 'Scraping Periodontal', 'Treatment for bleeding/ Swolen Gums', 'General Dentistry', 'Tooth Coloured Fillings', 'Loose Teeth', 'Implant Retained Dentures', 'Dental Checkup (General)', 'Ceramic Veneers / Crowns', 'Restoration Aesthetics', 'Mouth Bleed', 'Dental Crowns', 'Dental Examinations', 'Flexible Partial/Complete Denture', 'Zirconia Crowns', 'Wisdom Tooth Extraction', 'Dental Bridges', 'Jaw ache', 'Dental screening and prophylaxis', 'Implant Supported Denture Fixing', 'Impaction / Impacted Tooth Extraction', 'Jaw Orthopedics', 'Pediatric Dentistry', 'Denture Problems', 'Root Resection', 'Laminates', 'Tooth Extraction', 'Stained Teeth', 'Maxillo Facial Prosthodontics', 'Laser Gum Surgery', 'Oral & Maxillofacial Surgery', 'Osseointegrated implants', 'Periodontal Flap Surgery', 'Jaw Ache', 'Bad Breath', 'Operculectomy', 'Implant / RCT', 're-root canal', 'Oral Surgery Procedures', 'Removal Partial Denture (RPD)', 'Abnormal Tooth Color', 'Gap Closing', 'Dental Implant Fixing', 'Misaligned Teeth', 'Dental Cavities', 'Periodontitis', 'Surgical Tooth Extraction']"
Dentistry,"['Rotten Tooth', 'Tooth Decay', 'Metal Braces Fixing', 'Teeth Sensitive to Hot and Cold', 'Orthognathic Surgery', 'Braces', 'Dental Treatment', 'Cast Partial Denture', 'Post and Core', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Dental Calculus', 'Cosmetic Recountouring of Teeth', 'Calculus', 'Composite tooth filling', 'Pulpectomy', 'Health Checkup (General)', 'Orthodontic Treatment', 'Smile Design', 'Missing Teeth', 'Wisdom Teeth', 'Teeth Decay', 'Oral Rehabilitation', 'Dentofacial Orthopedics', 'Artificial Teeth', 'Complete/Partial Dentures Fixing', 'Impacted Teeth', 'Rotten Teeth', 'Aesthetic Dentistry', 'Advanced surgery in Implantology', 'Conservative Dentistry', 'Flap Surgery', 'Dental Cavity Filling', 'Removal of impacted/buried Tooth', 'Jaw Reshaping', 'Painful Teething', 'Widely Spaced Teeth', 'Broken Teeth', 'Invisible/Clear Braces', 'Bleeding Gums Treatment', 'Tooth Abscess', 'Swollen Gums', 'Tooth Impaction Surgery', 'Teeth cleaning & polishing', 'Teeth Whitening', 'RCT - Single Sitting', 'Scalling', 'Implant Prosthesis', 'RCT - Root Canal Treatment', 'Dental Fillings', 'Smile Designing', 'Braces Adjustment', 'Full Denture (Acrylic)', 'Oral Prophylaxis', 'Scaling / Polishing', 'Impacted Tooth', 'Mouth Guard', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Dental Plaque', 'Fractured Tooth', 'Dental Surgery', 'Metallic Crown Fixing', 'Consultation', 'Yoga during pregnancy', 'Invisalign Orthodontics', 'Gingivitis', 'Immediate Implant placement in Extraction sockets', 'Delayed Tooth Formation', 'Toothache Remedies', 'Veneers / Laminates', 'Bleeding Gums', 'Microscope Assisted Root Canal Treatment', 'Gum Disease Treatment/ Surgery', 'Toothache', 'Inlays and Onlays', 'Immediate Dentures', 'Soft Tissue Swelling of face and neck', 'Tooth Filling', 'Removable Partial Denture Per Tooth', 'Teeth Grinding', 'Sensitive Teeth', 'Cavities', 'Abnormally Shaped Teeth', 'Crowded Teeth', 'Teeth Ache', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Acrylic Partial Denture', 'Ceramic Crowns and Bridges Fixing', 'Dental X-Ray', 'TMJ Disorders', 'Fixed Partial Denture (FPD)', 'Dental Sealant', 'Mucogingival Surgery', 'Treatment for bleeding/ Swolen Gums', 'General Dentistry', 'Tooth Coloured Fillings', 'Loose Teeth', 'Dental Checkup (General)', 'Ceramic Veneers / Crowns', 'Mouth Bleed', 'Dental Crowns', 'Dental Examinations', 'Flexible Partial/Complete Denture', 'Zirconia Crowns', 'Wisdom Tooth Extraction', 'Dental Bridges', 'Dental screening and prophylaxis', 'Implant Supported Denture Fixing', 'Impaction / Impacted Tooth Extraction', 'Jaw Orthopedics', 'Denture Problems', 'Root Resection', 'Laminates', 'Tooth Extraction', 'Stained Teeth', 'Maxillo Facial Prosthodontics', 'Laser Gum Surgery', 'Oral & Maxillofacial Surgery', 'Osseointegrated implants', 'Periodontal Flap Surgery', 'Jaw Ache', 'Bad Breath', 'Operculectomy', 'Implant / RCT', 're-root canal', 'Oral Surgery Procedures', 'Removal Partial Denture (RPD)', 'Abnormal Tooth Color', 'Gap Closing', 'Dental Implant Fixing', 'Misaligned Teeth', 'Dental Cavities', 'Periodontitis', 'Surgical Tooth Extraction']"
Dentofacial Orthopedic,"['Orthodontic Procedures', 'Rotten Tooth', 'Tooth Decay', 'Metal Braces Fixing', 'Teeth Sensitive to Hot and Cold', 'Orthognathic Surgery', 'Retainers and Splinting', 'Braces', 'Straightening Teeth (Conventional Braces)', 'Dental Braces Fixing', 'Dental Treatment', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Tooth Discoloration', 'Dentures ( Metal Based ) Dental Services/ Ful Dental (Acrylic) / Teeth Whitening', 'invis align', 'Composite tooth filling', 'Damon System', 'Pulpectomy', 'Health Checkup (General)', 'Orthodontic Treatment', 'Smile Design', 'Wisdom Teeth', 'Oral Rehabilitation', 'Dentofacial Orthopedics', 'Artificial Teeth', 'Underbite', 'Tooth Loss', 'Impacted Teeth', 'Aesthetic Dentistry', 'Conservative Dentistry', 'Dental Cavity Filling', 'Jaw Reshaping', 'Painful Teething', 'Widely Spaced Teeth', 'Tooth Abscess', 'Invisible/Clear Braces', 'Broken Teeth', 'Bleeding Gums Treatment', 'Tooth Worm', 'Teeth cleaning & polishing', 'Tooth Impaction Surgery', 'Teeth Whitening', 'Tooth Air Polishing', 'RCT - Root Canal Treatment', 'Dental Fillings', 'Smile Designing', 'Braces Adjustment', 'Cosmetic Filling', 'Oral Prophylaxis', 'Mouth piece/ night guard', 'Scaling / Polishing', 'Impacted Tooth', 'Fractured Tooth', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Impacted Tooth Removal', 'Malocclusion', 'Dental Surgery', 'Straightening Teeth (Invisalign)', 'Metallic Crown Fixing', 'Painless Single visit root canal treatment', 'Invisalign Orthodontics', 'Toothache Remedies', 'Teeth Reshaping', 'Veneers / Laminates', 'Bleeding Gums', 'Gum Disease Treatment/ Surgery', 'Ceramic Braces Fixing', 'Straightening of teeth ( Invisalign ) - Removable option', 'Toothache', 'Invisible Orthodontics', 'Composite Bondings', 'Gum Depigmentation Treatment', 'Crooked Teeth', 'Paedodontics', 'Teeth Grinding', 'Sensitive Teeth', 'Cavities', 'Abnormally Shaped Teeth', 'Braces adjustments', 'Crowded Teeth', 'Teeth Ache', 'Aesthetic and restorative fillings', 'GIC Tooth Fillings', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Ceramic Crowns and Bridges Fixing', 'Acrylic Partial Denture', 'Dental X-Ray', 'Fixed Partial Denture (FPD)', 'Dental Sealant', 'Mucogingival Surgery', 'General Dentistry', 'Tooth Coloured Fillings', 'Loose Teeth', 'Dental Tartar', 'Dental Checkup (General)', 'Ceramic Veneers / Crowns', 'Mouth Bleed', 'Dental Crowns', 'Dental Examinations', 'Wisdom Tooth Extraction', 'Zirconia Crowns', 'Jaw ache', 'Lingual Orthodontics', 'Denture Problems', 'Dental Implant', 'Dental Restoration', 'Tooth Extraction', 'Laser Gum Surgery', 'Chipped Tooth', 'Ceramic Dental Braces', 'Jaw Ache', 'Bad Breath', 're-root canal', 'Oral Surgery Procedures', 'Crossbite', 'Removal Partial Denture (RPD)', 'Abnormal Tooth Color', 'Gap Closing', 'Overbite', 'Dental Implant Fixing', 'Child teeth problem', 'Misaligned Teeth', 'Dental Cavities', 'Teeth Bleaching Treatment', 'interceptive orthodontics', 'Scalling', 'Surgical Tooth Extraction', 'Dental Checkup (General) Dental X-Ray']"
Dermatology,"['HAIR CARE SERVICES', 'Contact Dermatitis', 'PRP for hair loss', 'Permanent Acne Solutions', ' Age Spots', 'Clinical Dermatology and Skin Care', 'Adiana System', 'Photofacial', 'Dermatophytosis', 'Sun Spots', 'ANTIAGEING SOLUTIONS', 'Hair Loss Treatment', 'Laser Surgery', 'Acne Scars', 'skin burn', 'Cysts', 'Fillers', 'Skin Tag Treatment', 'Hair Growth Treatment', 'Hair Treatment', 'Skin Care', 'Tattoo Removal', 'Whiteheads', 'Acne', 'Greying Hair', 'skin disesse', 'Freckles and pigmentation treatment', 'Acne/ Pimple Scars Treatment', 'Skin Allergy', 'Line and Wrinkle Smoothing', 'Skin Disorder', 'Hair Loss', 'Antiageing', 'PRP ( PLATELET RICH PLASMA ) for Hair Thinning', 'Androgenic alopecia', 'Chemical Peel', 'ringwo', 'Skin Infections', 'Glycolic Peel', 'Freckles Removal', 'Dermaroller', 'Medical Vitiligo Treatment', 'Herpes Infections', 'Allergy Treatment', 'Hair Transplant Surgery', 'Molluscum Removal', 'Skin Disease Treatment', 'PRP for Hairfall', 'Acne / Pimples Treatment', 'Skin Tag Surgical Removal', 'Scarred Skin', 'Hair Disease', 'pimples', 'Blackheads', 'Dermatologic Surgery Small', 'Rosacea', 'Skin Whitening Treatment', 'Alopecia Universalis', 'Nail Disorders', 'Skin Growths', 'Pimple Free Treatments', 'Alopecia Areta Treatment', 'Thyroid Disorders', 'Chronic Skin Allergy', 'FUT Hair Transplant', 'Hair Removal Treatment', 'Dandruff', 'Seborrheic Dermatitis', 'Skin Hydration', 'Sun Burn Treatment', 'Wrinkles', 'Anti Aging Treatment', 'Syphilis Treatment', 'Low Level Laser Therapy', 'PRP Hair Transplantation', 'Ear & Nose Piercing', 'Nail Surgery', 'Corn Removal', 'hypopigmentation', 'Scalp Micropigmentation (SMP)', 'Wart Removal', 'Melasma Treatment', 'Skin Whiting', 'Baldness Treatment', 'Skin Cancer Screening', 'Body Ache', 'Mesotherapy', 'Dermatitis Treatment', ' And Other Pigmented Lesions', 'Fungal Infection', 'under eye', 'Scales on Skin', 'Keratosis', 'Hair Mesotherapy', 'Open Pores', 'Psoriasis Treatment', 'Vitiligo', 'Hair Regrowth', 'Biofibre Hair Implant', 'Skin Allergy Treatment', 'Dry Skin', 'Hardening of the skin', 'Tinea Versicolor Treatment', 'Dandruff Treatment', 'Hair Restoration', 'Pigmented Skin', 'Broken Nails', 'Ichthyosis vulgaris', 'Eczema', 'Chickenpox', ""Athlete's Foot"", 'Dermatology Services', 'PRP for Hair Loss', 'Hair Fringes', 'Chemical Peels', 'Allergies', 'Rashes', 'Bacterial Skin Infection Treatment', 'Skin Pulse Treatment', 'Androgenetic Alopecia treatment', 'Skin Whitening', 'Itching', 'Keloids Removal', 'Hair Weaving & Bonding', 'Nail Diseases Treatment', 'Fungal Infection Treatment', 'Pigmentation Treatment', 'Leucoderma Treatment', 'Earlobe Repair', 'Fractional Skin Rejuvenation', 'Skin Tags Removal', 'Skin Treatment', 'Atopic Dermatitis Treatment', 'Cosmetic Treatments', 'Skin Pigmentation', 'Laser Resurfacing', 'Ear Repair', 'Baldness', 'Scar Treatment', 'Salicyclic Peel', 'Psoriasis', 'Hyper Pigmentation Treatment', 'Skin Rash Treatment', 'Photodermatitis', 'Hair Patch', 'Acne Treatment', 'dandruff', 'Pigmentation Removal', 'Hair Transplant', 'Skin Conditions', 'All Modern Skin Treatment', 'Tags', 'Laser Hair Removal - Face', 'skin checks', 'FUE Hair Transplant', 'hair and nails treatment', 'Dull Skin', 'Warts', 'PRP Treatment', 'Scalp Treatment']"
Dermatopathology,[]
Dermatosurgery,"['HAIR CARE SERVICES', 'Contact Dermatitis', 'PRP for hair loss', ' Age Spots', 'Peel', 'Clinical Dermatology and Skin Care', ' acne', 'Adiana System', 'Dermatophytosis', 'Laser therapy', 'Sun Spots', 'Hair Loss Treatment', 'Laser Surgery', 'Acne Scars', 'skin burn', 'Cysts', 'Fillers', 'Skin Tag Treatment', 'Hair Growth Treatment', 'Skin Care', 'Tattoo Removal', 'Whiteheads', 'Acne', 'Greying Hair', 'skin disesse', 'Hair Replacement', 'Freckles and pigmentation treatment', 'Acne/ Pimple Scars Treatment', 'Skin Disorder', 'Hair Loss', 'PRP ( PLATELET RICH PLASMA ) for Hair Thinning', 'FACELIFT', 'Androgenic alopecia', 'Chemical Peel', 'ringwo', 'Skin Infections', 'Glycolic Peel', 'Dermaroller', 'Medical Vitiligo Treatment', 'Herpes Infections', 'Allergy Treatment', 'Hair Transplant Surgery', 'Molluscum Removal', 'Skin Disease Treatment', 'pimples', 'Acne / Pimples Treatment', 'PRP for Hairfall', 'Scarred Skin', 'Hair Disease', 'Blackheads', 'Dermatologic Surgery Small', 'Rosacea', 'Alopecia Universalis', 'Nail Disorders', 'Keloid Treatment', 'Pimple Free Treatments', 'Alopecia Areta Treatment', 'Chemical peel of skin', 'Chronic Skin Allergy', 'Peels for glow', 'FUT Hair Transplant', 'Hair Removal Treatment', 'Dandruff', 'Seborrheic Dermatitis', 'Skin Hydration', 'Sun Burn Treatment', 'Wrinkles', 'Anti Aging Treatment', 'Low Level Laser Therapy', 'FUE Scar Less Method', 'PRP Hair Transplantation', 'Nail Surgery', 'Ear & Nose Piercing', 'Corn Removal', 'Wart Removal', 'Melasma Treatment', 'Skin Whiting', 'Baldness Treatment', 'Body Ache', 'Dermabrasion', 'Mesotherapy', 'Dermatitis Treatment', 'Fungal Infection', ' And Other Pigmented Lesions', 'Scales on Skin', 'Keratosis', 'Open Pores', 'Hair Mesotherapy', 'Psoriasis Treatment', 'Vitiligo', ' Lasers', 'Hair Regrowth', 'Biofibre Hair Implant', 'hyperpigmentation', 'Skin Allergy Treatment', 'Hardening of the skin', 'Tinea Versicolor Treatment', 'Dandruff Treatment', 'Hair Restoration', 'Pigmented Skin', 'Skin Needling', 'Broken Nails', 'Eczema', 'Cosmetic procedures', 'Dermatology Services', 'PRP for Hair Loss', 'Chemical Peels', 'Rashes', 'Bacterial Skin Infection Treatment', 'Skin Pulse Treatment', 'Androgenetic Alopecia treatment', 'Skin Whitening', 'Itching', 'Hair Weaving & Bonding', 'Nail Diseases Treatment', 'Fungal Infection Treatment', 'Pigmentation Treatment', 'Leucoderma Treatment', 'Earlobe Repair', 'Fractional Skin Rejuvenation', 'Skin Tags Removal', 'Skin Treatment', 'Cosmetic Treatments', 'Skin Pigmentation', 'Laser Resurfacing', 'Ear Repair', 'Baldness', 'Scar Treatment', 'Phototherapy', 'Salicyclic Peel', ' Hair & Nail Analysis', 'Psoriasis', 'Hyper Pigmentation Treatment', ' Polishing', 'Skin Rash Treatment', 'Facial Rejuvenation Treatment', 'Hair Patch', 'dandruff', 'Pigmentation Removal', 'Pseudofolliculitis Barbae', 'Hair Transplant', 'Skin Conditions', 'Skin', 'Laser Hair Removal - Face', 'skin checks', 'FUE Hair Transplant', 'Warts', 'Dermoscopy', 'PRP Treatment', 'Scalp Treatment']"
Dietitian Nutritionist,"['Anemia', 'Anxiety And Depression', 'Hypothyroid', 'Constipation', 'Diabetic Diet Counseling', 'Hypertension', 'Diets in metabolic disorder', 'Guidance Lifestyle', 'Sports nutrition', 'Behavioral Nutrition', 'Pre and Post Dialysis', 'Vitamin Deficiency', 'Healthy Heart Diet', 'PCOD/ PCOS Diet Counselling', 'Diet Counseling', 'Difficulty Sleeping', 'PCOD', 'Acidity', 'Slimming', 'Diet in liver & Kidney Disorders', 'High Cholesterol Diet Counselling', 'Diet in Pregnancy/ Post Delivery', 'Detox Diet Counseling', 'Weight Management', 'Weight Loss Treatment', 'Weight Management Counseling', 'Diet Therapy', 'Weight Gain Diet Counseling', 'Renal (Kidney) Diet Counselling', 'Infertility', 'Diet For Kids', 'Thyroid Disorders', 'Medical Nutrition Therapy', 'Acne', 'Hypertension Diet Counselling', 'Functional Nutrition', 'Diet Counselling', 'Personal Diets', 'Excercise Therapy', 'PCOD/PCOS Treatment', 'Obesity', 'Weight Loss Diets (man)', 'Diabetes', 'Joint Pain', 'Underweight', 'Weight Loss Diet Counseling', 'Nutritional education', 'Weight Management diet - Overweight & Underweight', 'Diabetes type 1 and type 2', 'Overeating', 'Ketogenic diet', 'Gym Diets', 'Uric Acid Diets', 'Thyroid Diet Counseling']"
Ent Ear Nose Throat,[]
